accuracy,kappa
0.9948908296943232,0.9897161264620147
0.9948956521739131,0.9897255445388338
0.9949134199134199,0.9897615015669022
0.9949094827586207,0.9897534052515298
0.9949227467811159,0.9897801747887283
0.9949188034188035,0.9897725879538855
0.994931914893617,0.9897991995236203
0.9949237288135593,0.9897823383058505
0.994915611814346,0.9897660337538206
0.9949033613445378,0.9897413470502832
0.9949163179916318,0.9897672461361706
0.994925,0.9897848513486912
0.9949211618257261,0.98977737016079
0.9949297520661157,0.989794989724532
0.9949423868312757,0.989820483720666
0.9949426229508197,0.9898213085022867
0.9949510204081633,0.9898380522504427
0.9949512195121951,0.9898389028586471
0.9949433198380567,0.9898226365395578
0.9949314516129032,0.9897988112133511
0.9949317269076305,0.9897996544600569
0.994944,0.9898242845293188
0.9949442231075697,0.9898251984432098
0.9949523809523809,0.9898413717445109
0.9949407114624506,0.9898181100494858
0.9949409448818898,0.9898186296557565
0.9949490196078431,0.9898348790076362
0.99495703125,0.9898508124273011
0.9949571984435798,0.9898512741763572
0.9949651162790698,0.9898670582961913
0.994976833976834,0.9898907580771337
0.9949846153846154,0.9899063436955595
0.9949808429118774,0.9898984371761511
0.9949847328244275,0.9899062362375465
0.9950038022813689,0.9899445737831684
0.9950075757575758,0.9899528529522433
0.995022641509434,0.989982762771153
0.9950263157894736,0.989989936011292
0.9950224719101124,0.9899817395522562
0.9950298507462687,0.9899967366527855
0.9950223048327137,0.9899813131512197
0.995037037037037,0.9900111925200725
0.9950442804428045,0.9900256556876141
0.9950477941176471,0.9900326888815129
0.995051282051282,0.9900397755920163
0.9950510948905109,0.9900397145547091
0.9950581818181818,0.9900538869162693
0.9950760869565217,0.9900897702411872
0.9950794223826714,0.9900967192529808
0.9950827338129496,0.9901034134187907
0.9950788530465949,0.9900955754999924
0.9950928571428571,0.9901238516038159
0.9950889679715302,0.9901159185038504
0.995095744680851,0.9901293688341593
0.9950989399293286,0.9901359963911779
0.9951021126760563,0.9901424549723388
0.9951087719298246,0.9901560233664897
0.9951083916083916,0.9901552143180504
0.9951149825783973,0.9901683703437412
0.9951145833333334,0.9901676004329388
0.9951141868512111,0.9901667705668223
0.9951275862068966,0.9901935126044631
0.9951408934707904,0.9902204042529144
0.9951506849315068,0.9902400000584648
